TransactionId_60873,BatchId_93685,AccountId_3832,SubscriptionId_4161,CustomerId_4275,UGX,256,ProviderId_3,ProductId_15,financial_services,ChannelId_3,700000,700000,2018-11-15T08:04:51Z,0,1
TransactionId_28016,BatchId_125553,AccountId_2366,SubscriptionId_4834,CustomerId_7414,UGX,256,ProviderId_5,ProductId_9,financial_services,ChannelId_1,725000,725000,2018-11-15T08:20:09Z,2,1
TransactionId_1149,BatchId_10381,AccountId_3832,SubscriptionId_4161,CustomerId_4275,UGX,256,ProviderId_3,ProductId_15,financial_services,ChannelId_3,700000,700000,2018-11-15T08:31:57Z,0,1
TransactionId_136904,BatchId_52644,AccountId_3692,SubscriptionId_3451,CustomerId_4134,UGX,256,ProviderId_1,ProductId_15,financial_services,ChannelId_3,700000,700000,2018-11-17T09:15:23Z,0,1
TransactionId_88818,BatchId_54481,AccountId_3832,SubscriptionId_4161,CustomerId_4275,UGX,256,ProviderId_3,ProductId_15,financial_services,ChannelId_3,700000,700000,2018-11-17T11:49:46Z,0,1
TransactionId_65985,BatchId_34263,AccountId_2366,SubscriptionId_4834,CustomerId_7414,UGX,256,ProviderId_5,ProductId_9,financial_services,ChannelId_1,905000,905000,2018-11-19T12:10:31Z,2,1
TransactionId_4222,BatchId_127498,AccountId_1959,SubscriptionId_1476,CustomerId_2353,UGX,256,ProviderId_3,ProductId_15,financial_services,ChannelId_3,800000,800000,2018-11-20T12:00:29Z,0,1
TransactionId_2550,BatchId_79762,AccountId_4003,SubscriptionId_3002,CustomerId_4453,UGX,256,ProviderId_5,ProductId_15,financial_services,ChannelId_3,770000,770000,2018-11-20T12:27:15Z,0,1
TransactionId_49480,BatchId_77828,AccountId_3943,SubscriptionId_1417,CustomerId_4391,UGX,256,ProviderId_5,ProductId_15,financial_services,ChannelId_3,500000,500000,2018-11-20T22:11:53Z,0,1
TransactionId_66468,BatchId_89498,AccountId_4590,SubscriptionId_666,CustomerId_5054,UGX,256,ProviderId_5,ProductId_3,airtime,ChannelId_3,500000,500000,2018-11-21T08:26:49Z,4,1
TransactionId_45692,BatchId_129136,AccountId_3943,SubscriptionId_1417,CustomerId_4391,UGX,256,ProviderId_5,ProductId_15,financial_services,ChannelId_3,5000000,5000000,2018-11-21T14:58:08Z,0,1
TransactionId_6570,BatchId_51633,AccountId_4003,SubscriptionId_3002,CustomerId_4453,UGX,256,ProviderId_5,ProductId_15,financial_services,ChannelId_3,3000000,3000000,2018-11-21T15:39:04Z,0,1
TransactionId_64893,BatchId_126705,AccountId_4003,SubscriptionId_3002,CustomerId_4453,UGX,256,ProviderId_1,ProductId_10,airtime,ChannelId_3,500000,500000,2018-11-27T13:43:04Z,0,1
TransactionId_15347,BatchId_62751,AccountId_1488,SubscriptionId_814,CustomerId_1858,UGX,256,ProviderId_3,ProductId_15,financial_services,ChannelId_3,500000,500000,2018-11-30T05:11:35Z,2,1
TransactionId_62039,BatchId_66926,AccountId_1959,SubscriptionId_1476,CustomerId_2353,UGX,256,ProviderId_3,ProductId_15,financial_services,ChannelId_3,540000,540000,2018-12-01T13:30:31Z,0,1
TransactionId_59613,BatchId_66926,AccountId_1959,SubscriptionId_1476,CustomerId_2353,UGX,256,ProviderId_3,ProductId_15,financial_services,ChannelId_3,540000,540000,2018-12-01T13:31:25Z,0,1
TransactionId_65869,BatchId_68081,AccountId_1959,SubscriptionId_1476,CustomerId_2353,UGX,256,ProviderId_3,ProductId_15,financial_services,ChannelId_3,540000,540000,2018-12-01T13:35:53Z,0,1
TransactionId_120546,BatchId_68081,AccountId_1959,SubscriptionId_1476,CustomerId_2353,UGX,256,ProviderId_3,ProductId_15,financial_services,ChannelId_3,540000,540000,2018-12-01T13:36:07Z,0,1
TransactionId_66303,BatchId_121053,AccountId_1488,SubscriptionId_814,CustomerId_1858,UGX,256,ProviderId_3,ProductId_15,financial_services,ChannelId_3,2000000,2000000,2018-12-01T20:29:47Z,2,1
TransactionId_48757,BatchId_93509,AccountId_1823,SubscriptionId_4174,CustomerId_2214,UGX,256,ProviderId_3,ProductId_22,utility_bill,ChannelId_3,700000,733000,2018-12-03T11:24:40Z,1,1
TransactionId_26162,BatchId_132582,AccountId_4003,SubscriptionId_3002,CustomerId_4453,UGX,256,ProviderId_1,ProductId_15,financial_services,ChannelId_3,500000,500000,2018-12-03T19:37:53Z,2,1
TransactionId_51912,BatchId_116744,AccountId_4003,SubscriptionId_3002,CustomerId_4453,UGX,256,ProviderId_1,ProductId_15,financial_services,ChannelId_3,500000,500000,2018-12-04T06:40:20Z,2,1
