TransactionId,FraudResult
TransactionId_47357,0
TransactionId_22140,0
TransactionId_109096,0
TransactionId_69896,0
TransactionId_18862,0
TransactionId_116873,0
TransactionId_89297,0
TransactionId_112716,0
TransactionId_124957,0
TransactionId_44325,0
TransactionId_72401,0
TransactionId_100360,0
TransactionId_121720,0
TransactionId_121119,0
TransactionId_129168,0
TransactionId_70335,0
TransactionId_62038,0
TransactionId_40395,0
TransactionId_78595,0
TransactionId_991,0
TransactionId_132027,0
TransactionId_109088,0
TransactionId_81355,0
TransactionId_44532,0
TransactionId_103079,0
TransactionId_35887,0
TransactionId_78701,0
TransactionId_9127,0
TransactionId_96624,0
TransactionId_35664,0
TransactionId_21834,0
TransactionId_25732,0
TransactionId_66270,0
TransactionId_64712,0
TransactionId_122147,0
TransactionId_115838,0
TransactionId_82700,0
TransactionId_33027,0
TransactionId_83505,0
TransactionId_36956,0
TransactionId_89292,0
TransactionId_60362,0
TransactionId_4722,0
TransactionId_29893,0
TransactionId_90690,0
TransactionId_23625,0
TransactionId_20059,0
TransactionId_18268,0
TransactionId_103226,0
TransactionId_32651,0
TransactionId_30611,0
TransactionId_137440,0
TransactionId_103962,0
TransactionId_33792,0
TransactionId_95923,0
TransactionId_123960,0
TransactionId_127443,0
TransactionId_113727,0
TransactionId_34235,0
TransactionId_25496,0
TransactionId_21967,0
TransactionId_67793,0
TransactionId_87164,0
TransactionId_8106,0
TransactionId_70582,0
TransactionId_12657,0
TransactionId_50717,0
TransactionId_10668,0
TransactionId_94471,0
TransactionId_140226,0
TransactionId_74757,0
TransactionId_74290,0
TransactionId_33601,0
TransactionId_33395,0
TransactionId_45879,0
TransactionId_59526,0
TransactionId_98042,0
TransactionId_104612,0
TransactionId_54550,0
TransactionId_58375,0
TransactionId_28315,0
TransactionId_79146,0
TransactionId_118665,0
TransactionId_123637,0
TransactionId_135778,0
TransactionId_79598,0
TransactionId_121922,0
TransactionId_49559,0
TransactionId_135259,0
TransactionId_124655,0
TransactionId_52631,0
TransactionId_136901,0
TransactionId_22889,0
TransactionId_61443,0
TransactionId_15667,0
TransactionId_25136,0
TransactionId_27832,0
TransactionId_88017,0
TransactionId_115179,0
TransactionId_30721,0
TransactionId_7518,0
TransactionId_56119,0
TransactionId_110135,0
TransactionId_58643,0
TransactionId_69054,0
TransactionId_5596,0
TransactionId_68034,0
TransactionId_35402,0
TransactionId_82297,0
TransactionId_133576,0
TransactionId_124627,0
TransactionId_5778,0
TransactionId_58250,0
TransactionId_105455,0
TransactionId_16017,0
TransactionId_103917,0
TransactionId_121485,0
TransactionId_25256,0
TransactionId_8090,0
TransactionId_108655,0
TransactionId_101104,0
TransactionId_52833,0
TransactionId_100752,0
TransactionId_82556,0
TransactionId_16332,0
TransactionId_25231,0
TransactionId_46274,0
TransactionId_5195,0
TransactionId_129670,0
TransactionId_36380,0
TransactionId_103234,0
TransactionId_57617,0
TransactionId_37899,0
TransactionId_5369,0
TransactionId_140530,0
TransactionId_138004,0
TransactionId_34607,0
TransactionId_13933,0
TransactionId_120157,0
TransactionId_138257,0
TransactionId_97714,0
TransactionId_94560,0
TransactionId_118225,0
TransactionId_39479,0
TransactionId_90110,0
TransactionId_56254,0
TransactionId_61431,0
TransactionId_30318,0
TransactionId_137904,0
TransactionId_48210,0
TransactionId_123120,0
TransactionId_123113,0
TransactionId_10311,0
TransactionId_31455,0
TransactionId_102438,0
TransactionId_133732,0
TransactionId_139583,0
TransactionId_133714,0
TransactionId_30107,0
TransactionId_4178,0
TransactionId_85679,0
TransactionId_39039,0
TransactionId_20443,0
TransactionId_58614,0
TransactionId_131057,0
TransactionId_97768,0
TransactionId_77789,0
TransactionId_24616,0
TransactionId_92891,0
TransactionId_118704,0
TransactionId_65971,0
TransactionId_20512,0
TransactionId_91874,0
TransactionId_69608,0
TransactionId_118799,0
TransactionId_24976,0
TransactionId_44676,0
TransactionId_95473,0
TransactionId_19919,0
TransactionId_22914,0
TransactionId_18629,0
TransactionId_99849,0
TransactionId_78615,0
TransactionId_37492,0
TransactionId_136100,0
TransactionId_14836,0
TransactionId_36531,0
TransactionId_15228,0
TransactionId_103610,0
TransactionId_39560,0
TransactionId_87575,0
